name,category,latitude,longitude,mood,budget,companion,area,time,description
Bombardment of Madras Site,memorial,13.0879678,80.2899079,misc,mid,solo,Nungambakkam,one hour,
Hot Chips Vegetarian Restaurant,restaurant,13.0887528,80.2867827,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Hotel Ezham Suvai,restaurant,12.9738369,80.1833882,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Puratchi Thalaivi Amma Dr. J. Jayalalithaa Memorial,memorial,13.06416,80.2857739,misc,mid,solo,Nungambakkam,one hour,
Fusili Reasons,restaurant,13.0799423,80.2441589,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Hokkaido,restaurant,13.0330561,80.2527299,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Amma mess,restaurant,12.9411181,80.2044784,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
A-1 Hyderabad Biriyani & Fast Food,restaurant,13.088904,80.286806,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Madhavan mess,fast_food,13.1242262,80.2014693,casual,low,solo,Nungambakkam,one hour,
Juice shop,fast_food,13.1256796,80.2016216,casual,low,solo,Nungambakkam,one hour,
Venkateshwara fruit shop,supermarket,13.1255155,80.2014918,errands,low,family,Nungambakkam,one hour,
Suprabatham,restaurant,13.0887415,80.2865499,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Anna Viruksham Vegetarian Restaurant,restaurant,13.0905767,80.2905767,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sir Charles Trevelyan Memorial,memorial,13.0820557,80.2729492,misc,mid,solo,Nungambakkam,one hour,
Queen's Cool Palace,cafe,13.0924508,80.2898978,chill,mid,solo,Nungambakkam,two hours,
Corner Coolbar,convenience,13.0924448,80.2899754,errands,low,family,Nungambakkam,one hour,
Esplanade Boundary Marker,monument,13.0889988,80.2899841,misc,mid,solo,Nungambakkam,one hour,
State Emblem Monument,monument,13.043153,80.2796808,misc,mid,solo,T. Nagar,one hour,
Chai Waale,cafe,13.0948869,80.2861755,chill,mid,solo,Nungambakkam,two hours,Explore this exciting spot!
Broadway Biriyani,restaurant,13.0886372,80.284971,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Ninan's Restaurant,restaurant,13.0887346,80.2862359,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sea Shore,restaurant,13.0890597,80.2852408,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Praba Cool Bar,cafe,13.0907195,80.2843765,chill,mid,solo,Nungambakkam,two hours,
A2B Restaurant,restaurant,13.0149457,80.1922065,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Robert Clive Memorial,memorial,13.0785866,80.2860043,misc,mid,solo,Nungambakkam,one hour,
Hotel Akshaya Bhavan,restaurant,13.0399578,80.1320627,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Reliance super market,supermarket,13.126522,80.2017441,errands,low,family,Nungambakkam,one hour,
Muhil soup,fast_food,13.1248648,80.201448,casual,low,solo,Nungambakkam,one hour,
kebab kings,fast_food,13.1236664,80.2014737,casual,low,solo,Nungambakkam,one hour,
mordern cofee,cafe,13.1236413,80.2015038,chill,mid,solo,Nungambakkam,two hours,
MM Cafe,cafe,13.124311,80.201478,chill,mid,solo,Nungambakkam,two hours,
Alstom Metropolis,monument,13.0323338,80.243172,misc,mid,solo,T. Nagar,one hour,
The Red Box,restaurant,13.1026805,80.2905294,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
K7,restaurant,13.1022825,80.2904264,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Jamavar,restaurant,13.0169477,80.2738948,romantic,mid,date,Besant Nagar,two hours,Explore this exciting spot!
Spectra,restaurant,13.0171169,80.2739851,romantic,mid,date,Besant Nagar,two hours,Explore this exciting spot!
The Lobby Lounge,restaurant,13.0173672,80.274099,romantic,mid,date,Besant Nagar,two hours,Explore this exciting spot!
Library Blu at The Leela Palace,bar,13.017266,80.2743605,party,high,friends,Besant Nagar,one hour,
Caribeean Chai,cafe,13.0931158,80.2910773,chill,mid,solo,Nungambakkam,two hours,
Cool House,fast_food,13.0932475,80.291037,casual,low,solo,Nungambakkam,one hour,
A.K. Tea Stall,cafe,13.1012171,80.2942221,chill,mid,solo,Nungambakkam,two hours,
Minerva Bar,bar,13.0934636,80.2856716,party,high,friends,Nungambakkam,one hour,
Nisha Cafe,cafe,13.093665,80.2897756,chill,mid,solo,Nungambakkam,two hours,
Royal Hot In Cold,fast_food,13.093601,80.2901765,casual,low,solo,Nungambakkam,one hour,
Merdeka Juice Point,fast_food,13.0933232,80.2902547,casual,low,solo,Nungambakkam,one hour,
Chennai Woodlands,restaurant,13.0942585,80.2913537,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Top Form,restaurant,13.0944064,80.2914241,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Greenapple Juice Shop,fast_food,13.0934492,80.2911389,casual,low,solo,Nungambakkam,one hour,
New Modern Tea Stall,cafe,13.0943274,80.2908948,chill,mid,solo,Nungambakkam,two hours,
Athima Tiffin Centre,cafe,13.0943855,80.2908945,chill,mid,solo,Nungambakkam,two hours,
Food Corner,cafe,13.0955445,80.2913878,chill,mid,solo,Nungambakkam,two hours,
Mab Tea Point,convenience,13.0959376,80.2914659,errands,low,family,Nungambakkam,one hour,
Chaat Zone,fast_food,13.0959948,80.2912592,casual,low,solo,Nungambakkam,one hour,
Hotel Moon,fast_food,13.0960049,80.2912208,casual,low,solo,Nungambakkam,one hour,
Classic Barbeque Corner,restaurant,13.0960127,80.2911867,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Maa Kali Tea Stall,cafe,13.0942076,80.2892837,chill,mid,solo,Nungambakkam,two hours,
Chennai Juice World,fast_food,13.0944464,80.2891745,casual,low,solo,Nungambakkam,one hour,
ABC Cafe,cafe,13.0963553,80.2892692,chill,mid,solo,Nungambakkam,two hours,
Sree Annai Pazharasam Fresh Juice & Cold Drinks,fast_food,13.0963162,80.2894382,casual,low,solo,Nungambakkam,one hour,
Sankar Cool Bar,fast_food,13.0957813,80.289378,casual,low,solo,Nungambakkam,one hour,
Rani Dam Chai,cafe,13.0956243,80.2893557,chill,mid,solo,Nungambakkam,two hours,
New Priya Chat Center,fast_food,13.0966171,80.2877228,casual,low,solo,Nungambakkam,one hour,
Olympic Tea & Fresh Juice,fast_food,13.0966107,80.287775,casual,low,solo,Nungambakkam,one hour,
Alreef The Family Restaurant,restaurant,13.0965713,80.2878998,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Alreef Cafe,cafe,13.09651,80.2879306,chill,mid,solo,Nungambakkam,two hours,
Moonstar Cool Bar,fast_food,13.0965172,80.2881725,casual,low,solo,Nungambakkam,one hour,
Al-Ameen Tiffen Center,cafe,13.0965216,80.2881464,chill,mid,solo,Nungambakkam,two hours,
Udipi Sri Durga Bhavan,restaurant,13.0965119,80.2882079,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Farida Fast Food,fast_food,13.0964998,80.2882948,casual,low,solo,Nungambakkam,one hour,
JEeva Illam,memorial,13.0469821,80.2501704,misc,mid,solo,Nungambakkam,one hour,
Konar Kadai,restaurant,13.07648,80.2643566,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Hatimy's,restaurant,13.0969063,80.2866796,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Valima Biriyani,restaurant,13.097062,80.2866516,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Manjal,restaurant,13.0453571,80.2555131,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Black Orchid,bar,13.0276017,80.2529195,party,high,friends,T. Nagar,one hour,
Cannon,memorial,13.0812606,80.2713741,misc,mid,solo,Nungambakkam,one hour,
Cannon,memorial,13.0813815,80.2719592,misc,mid,solo,Nungambakkam,one hour,
Hotel Farida,restaurant,13.0968585,80.2870288,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Kebab Centre,fast_food,13.0961176,80.2912083,casual,low,solo,Nungambakkam,one hour,
A to Z Hyderabad Biryani,fast_food,13.0960322,80.2914647,casual,low,solo,Nungambakkam,one hour,
Seema,restaurant,13.09688,80.2908894,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Olympic Tea & Fresh Juice,fast_food,13.096196,80.2909115,casual,low,solo,Nungambakkam,one hour,
CM Corner Cafe,cafe,13.0968758,80.2907429,chill,mid,solo,Nungambakkam,two hours,
Taste of Turkey,restaurant,13.0964397,80.2902357,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Arabian Nights Shawarma,fast_food,13.0963895,80.2897607,casual,low,solo,Nungambakkam,one hour,
Lassi Shop,fast_food,13.0963927,80.2897283,casual,low,solo,Nungambakkam,one hour,
Cutting Chai Yaari,cafe,13.0966064,80.2901251,chill,mid,solo,Nungambakkam,two hours,
Baap,fast_food,13.096636,80.2884752,casual,low,solo,Nungambakkam,one hour,
Sea Lord,cafe,13.0994059,80.2938237,chill,mid,solo,Nungambakkam,two hours,
Grill Nights,restaurant,13.0976067,80.2932418,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Golden Tea,cafe,13.098215,80.2930031,chill,mid,solo,Nungambakkam,two hours,
Psychedelic Hues - Art house and Cafe,cafe,13.0754835,80.2588986,chill,mid,solo,Nungambakkam,two hours,
T-55,monument,12.9985702,80.1919684,misc,mid,solo,T. Nagar,one hour,
Junction Grocery World,convenience,12.9984885,80.2674775,errands,low,family,Adyar,one hour,
Chef Adrian's Great Wall Chinese Restaurant,restaurant,12.9984715,80.267535,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Geetha Cafe,cafe,12.9981194,80.2675982,chill,mid,solo,Adyar,two hours,
Chi Cafe,cafe,12.9922698,80.2170766,chill,mid,solo,Adyar,two hours,
Krispy Kreme,fast_food,12.9920432,80.2169286,casual,low,solo,Adyar,one hour,
Jonah's goes to Japan,restaurant,12.9919466,80.2166021,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Cha Republic,cafe,12.9919024,80.2165543,chill,mid,solo,Adyar,two hours,
Big Bazaar,supermarket,12.9911157,80.216663,errands,low,family,Adyar,one hour,
Chai Kings,cafe,12.9962247,80.2702906,chill,mid,solo,Besant Nagar,two hours,
Madras Coffee House,cafe,12.9961883,80.2702881,chill,mid,solo,Besant Nagar,two hours,
Omar Khayyam,restaurant,13.0408892,80.2317501,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Beracha Convenience Stores,convenience,13.0407815,80.2315892,errands,low,family,T. Nagar,one hour,
Hot Chips,restaurant,13.0408527,80.2311764,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Nic Nac,restaurant,13.0406949,80.2322275,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
May Day Monument,monument,13.0734541,80.2732181,misc,mid,solo,Nungambakkam,one hour,
McDonald's,fast_food,13.0543277,80.2501562,casual,low,solo,Nungambakkam,one hour,
Six 'O' One,restaurant,13.0528083,80.2496472,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Chai Kings,cafe,13.0577863,80.2574861,chill,mid,solo,Nungambakkam,two hours,
McDonald's,fast_food,13.0617099,80.2619449,casual,low,solo,Nungambakkam,one hour,
Domino's,fast_food,13.0616426,80.2617916,casual,low,solo,Nungambakkam,one hour,
India Post Philatelic Bureau,museum,13.0672252,80.2696676,cultural,low,solo,Nungambakkam,two hours,
Punjab Grill,restaurant,12.9913342,80.2169537,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Starbucks,cafe,12.9917017,80.2170139,chill,mid,solo,Adyar,two hours,
Pappa Roti,restaurant,12.9918725,80.2170556,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Mainland China,restaurant,12.9911631,80.2170363,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
The Coffee Bean & Tea Leaf,cafe,12.9912251,80.2170117,chill,mid,solo,Adyar,two hours,
Kobe Sizzlers,restaurant,12.9914076,80.216939,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Khandani Rajdhani,restaurant,12.9911032,80.2170766,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Jazz Cinemas LUXE,cinema,12.9911536,80.2164418,entertainment,mid,friends,Adyar,half a day,
Vasanta Bhavan,restaurant,12.9912272,80.217063,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Burger King,fast_food,12.991546,80.2170141,casual,low,solo,Adyar,one hour,
Wow! Momo,fast_food,12.9911318,80.2171192,casual,low,solo,Adyar,one hour,
Arabian Hut,restaurant,12.9913743,80.2170186,romantic,mid,date,Adyar,two hours,Explore this exciting spot!
Domino's,fast_food,12.9914529,80.2170008,casual,low,solo,Adyar,one hour,
KFC,fast_food,12.991497,80.2169976,casual,low,solo,Adyar,one hour,
Sizzy Fresh Juice,fast_food,13.1022375,80.2763435,casual,low,solo,Nungambakkam,one hour,
Thamara Super Mart,convenience,13.1020646,80.2761696,errands,low,family,Nungambakkam,one hour,
Sri Maruthi Store,convenience,13.1023292,80.2776734,errands,low,family,Nungambakkam,one hour,
Sri Kumaran Daily Needs and Provisions,convenience,13.0217381,80.2309677,errands,low,family,T. Nagar,one hour,
Pandian Stores,convenience,13.0223338,80.2311815,errands,low,family,T. Nagar,one hour,
Marmalong Bridge (1728-1966) Monument,monument,13.0193927,80.2246204,misc,mid,solo,T. Nagar,one hour,
Al-Arsh Hotel,restaurant,13.1019911,80.2926089,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
RPS Cafe,cafe,13.0984966,80.2924206,chill,mid,solo,Nungambakkam,two hours,
Thai Mess,restaurant,13.0985064,80.2923742,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Grandway Supermarket,convenience,13.101165,80.2916643,errands,low,family,Nungambakkam,one hour,
K. B. Tea Stall,cafe,13.1009922,80.2916438,chill,mid,solo,Nungambakkam,two hours,
Greenapple Juice Shop,fast_food,13.1009979,80.2915977,casual,low,solo,Nungambakkam,one hour,
Rihan Mart,convenience,13.0988941,80.2872676,errands,low,family,Nungambakkam,one hour,
Super Stores,convenience,13.0998623,80.2874679,errands,low,family,Nungambakkam,one hour,
Zam Zam Hot Chips,fast_food,13.0997277,80.2877847,casual,low,solo,Nungambakkam,one hour,
New Corner Store,convenience,13.0966737,80.287964,errands,low,family,Nungambakkam,one hour,
Muthumalai Amman Provision,convenience,13.0995988,80.288623,errands,low,family,Nungambakkam,one hour,
Nitesh Chat House,fast_food,13.0995895,80.2887629,casual,low,solo,Nungambakkam,one hour,
Malar Fresh Juice,fast_food,13.0995811,80.2888424,casual,low,solo,Nungambakkam,one hour,
Bharat Tea Stall,cafe,13.0996157,80.288504,chill,mid,solo,Nungambakkam,two hours,
iCafe,cafe,13.0968183,80.2884066,chill,mid,solo,Nungambakkam,two hours,
Chennai Zero Mile,monument,13.0804251,80.280738,misc,mid,solo,Nungambakkam,one hour,
4 am Bonda Shop,cafe,13.0736757,80.2208569,chill,mid,solo,Nungambakkam,two hours,
Akka Shop,cafe,13.1117167,80.2266215,chill,mid,solo,Nungambakkam,two hours,
FNF Smoke Shop,cafe,13.085191,80.2203288,chill,mid,solo,Nungambakkam,two hours,
Adam Store,convenience,13.0981862,80.2911375,errands,low,family,Nungambakkam,one hour,
Aju Corner Cool Bar,fast_food,13.0987924,80.2905773,casual,low,solo,Nungambakkam,one hour,
Jam Jam Tea and Cool Bar,fast_food,13.0987549,80.2900061,casual,low,solo,Nungambakkam,one hour,
Mahalakshmi Stores,convenience,12.9598605,80.2420892,errands,low,family,Adyar,one hour,
Starbucks,cafe,12.9497648,80.2405213,chill,mid,solo,Adyar,two hours,
Geetha Provisions,convenience,13.0987901,80.2792897,errands,low,family,Nungambakkam,one hour,
Sabari Tea Stall,cafe,13.098786,80.2793185,chill,mid,solo,Nungambakkam,two hours,
Mahaveer Provision Stores,convenience,13.0986362,80.2799633,errands,low,family,Nungambakkam,one hour,
i-Mart,convenience,13.0933262,80.2850274,errands,low,family,Nungambakkam,one hour,
Real Biriyani,restaurant,13.0886236,80.2847721,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Myson,cafe,13.0897314,80.2848828,chill,mid,solo,Nungambakkam,two hours,
Chennai Rawther Restaurant,fast_food,13.0845556,80.276122,casual,low,solo,Nungambakkam,one hour,
Hotel Shiva Sagar,restaurant,13.0847852,80.2761096,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Vinayaga Tea Stall,cafe,13.0848718,80.2760315,chill,mid,solo,Nungambakkam,two hours,
Sri Magesh Chettinadu Restaurant,restaurant,13.0849943,80.2760161,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
New Central Hotel,restaurant,13.0835958,80.2762218,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Juice Corner,fast_food,13.0835444,80.2762266,casual,low,solo,Nungambakkam,one hour,
OSCAR Restaurant,restaurant,13.0835518,80.2763247,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
PVR Aerohub,cinema,12.9817599,80.165635,entertainment,mid,friends,T. Nagar,half a day,
Golden Corner,fast_food,13.0885995,80.2813738,casual,low,solo,Nungambakkam,one hour,
Guava Cafe,fast_food,13.0885862,80.2823954,casual,low,solo,Nungambakkam,one hour,
Ahmadia,restaurant,13.0886025,80.2823069,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Plaza Biriyani,restaurant,13.0886066,80.2822784,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Ganeshan Cool Bar,fast_food,13.091402,80.282483,casual,low,solo,Nungambakkam,one hour,
New Annapoorani Hotel,restaurant,13.0916476,80.2825231,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Vasavi Traders,convenience,13.0919729,80.2825771,errands,low,family,Nungambakkam,one hour,
Sankar Cafe,cafe,13.088514,80.2832457,chill,mid,solo,Nungambakkam,two hours,
Marudhar Provisions,convenience,13.0910648,80.2760058,errands,low,family,Nungambakkam,one hour,
Krishna Tea Stall,cafe,13.0904483,80.2753938,chill,mid,solo,Nungambakkam,two hours,
Tasmac,bar,12.9802916,80.1997635,party,high,friends,Adyar,one hour,
Karaikudi Chettinad Hotel,restaurant,13.0886531,80.2755976,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Trisha Fast Food,fast_food,13.0886193,80.2756775,casual,low,solo,Nungambakkam,one hour,
Kumaran Stores,convenience,13.0835677,80.2784045,errands,low,family,Nungambakkam,one hour,
Aburva Tea Stall,cafe,13.0835335,80.2783025,chill,mid,solo,Nungambakkam,two hours,
Harichandhana Coffee House,cafe,13.0836266,80.2781435,chill,mid,solo,Nungambakkam,two hours,
Seiko Grill,restaurant,13.1046141,80.2859105,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Seiko Cafe,cafe,13.1047112,80.2856761,chill,mid,solo,Nungambakkam,two hours,
Gowri Sankar Hotel,restaurant,13.056285,80.2116533,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Majeeth Restaurant,restaurant,13.1047537,80.2855257,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Hotel Sri Lakshmi,restaurant,13.1043444,80.2846056,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Manoj Snack Bar,fast_food,13.1040708,80.2845425,casual,low,solo,Nungambakkam,one hour,
M. K. Fresh Juice,fast_food,13.1040965,80.2845486,casual,low,solo,Nungambakkam,one hour,
Saleem Biriyani,restaurant,13.1038579,80.2736521,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Fathima Burma Athoo Shop,restaurant,13.1038553,80.2736287,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Naturals Dairy,convenience,13.0976962,80.2855786,errands,low,family,Nungambakkam,one hour,
Rasoee,restaurant,13.0930095,80.2795454,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Assam Tea House,cafe,13.0941723,80.2796696,chill,mid,solo,Nungambakkam,two hours,
Parvathi Filter Coffee and Tea,cafe,13.0927811,80.2797847,chill,mid,solo,Nungambakkam,two hours,
Lena Tea Stall,cafe,13.092844,80.2793159,chill,mid,solo,Nungambakkam,two hours,
Chai Waale,restaurant,13.0930201,80.2793527,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Saravan Sandwich Shop,restaurant,13.0936496,80.279431,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Guna Bhai Juice Centre,fast_food,13.0937466,80.2794428,casual,low,solo,Nungambakkam,one hour,
Om Chat,restaurant,13.0943685,80.2794732,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Ganesh Cool Bar,fast_food,13.0927046,80.279491,casual,low,solo,Nungambakkam,one hour,
Sandwich Shop,restaurant,13.0926879,80.2796221,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Hotel Prayag,restaurant,13.0908796,80.2792058,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Krishna Provision,convenience,13.0945783,80.2803433,errands,low,family,Nungambakkam,one hour,
Nirmala Provision,convenience,13.0947927,80.2803738,errands,low,family,Nungambakkam,one hour,
Vairavel Stores,convenience,13.0951046,80.2800014,errands,low,family,Nungambakkam,one hour,
Gupta Pan House,cafe,13.0950966,80.2798853,chill,mid,solo,Nungambakkam,two hours,
Siva Prasad Pure Vegetarian,restaurant,13.0945745,80.2804541,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Rajeshwari Departmental Stores,convenience,13.0946218,80.2804608,errands,low,family,Nungambakkam,one hour,
Krishna Mart,convenience,13.0949911,80.280721,errands,low,family,Nungambakkam,one hour,
NFR Store,convenience,13.0943739,80.2842613,errands,low,family,Nungambakkam,one hour,
Archana Tea Stall,cafe,13.0944314,80.2837737,chill,mid,solo,Nungambakkam,two hours,
Regal Snacks & Fresh Juice,fast_food,13.0982639,80.2801577,casual,low,solo,Nungambakkam,one hour,
Ganga 3,restaurant,13.0966877,80.2800036,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Bombay Vadapav,restaurant,13.0961055,80.2799579,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
DabeliWala,restaurant,13.0959704,80.2799538,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Raj Snacks,restaurant,13.0951485,80.2802074,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Raj Sree Chats,restaurant,13.0951634,80.2800706,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Roha Wala,restaurant,13.0954499,80.2798947,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Baby Cool Bar,fast_food,13.0951209,80.2804486,casual,low,solo,Nungambakkam,one hour,
New Raj Provision,convenience,13.0951087,80.2807435,errands,low,family,Nungambakkam,one hour,
Bismillah Biriyani,restaurant,13.0984553,80.2833342,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Sri Vinodkumar Tea & Coffee Center,cafe,13.0927005,80.2826617,chill,mid,solo,Nungambakkam,two hours,
Sri Nalvar Provision Store,convenience,13.0923417,80.283007,errands,low,family,Nungambakkam,one hour,
Lakshmi Provision Store,convenience,13.0960869,80.2798635,errands,low,family,Nungambakkam,one hour,
Sri Krishna Tea and Coffee Centre,cafe,13.0960454,80.2798331,chill,mid,solo,Nungambakkam,two hours,
"Prince Chat, Fresh Fruit & Juice",restaurant,13.0960626,80.2797296,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Bajrang Provision,convenience,13.0960722,80.2796733,errands,low,family,Nungambakkam,one hour,
New Nakoda Provision Store,convenience,13.0974165,80.2799297,errands,low,family,Nungambakkam,one hour,
Sharma Sweets & Chats,fast_food,13.0984756,80.2800053,casual,low,solo,Nungambakkam,one hour,
Sri Balaji Provision Store,convenience,13.0945951,80.2796197,errands,low,family,Nungambakkam,one hour,
Lemon Tree,fast_food,13.0948049,80.2796669,casual,low,solo,Nungambakkam,one hour,
babylon,fast_food,13.0951191,80.2797301,casual,low,solo,Nungambakkam,one hour,
Surbhi Snacks,fast_food,13.0953471,80.2797886,casual,low,solo,Nungambakkam,one hour,
Delhi Tandoori Chaap,fast_food,13.0954079,80.2797691,casual,low,solo,Nungambakkam,one hour,
Murugan Sandwich & Juice,cafe,13.0955906,80.2797992,chill,mid,solo,Nungambakkam,two hours,
Hot 'N' Spicy,fast_food,13.0956912,80.2798114,casual,low,solo,Nungambakkam,one hour,
Raju Cool Bar,fast_food,13.0960019,80.2796407,casual,low,solo,Nungambakkam,one hour,
Poha Wala,fast_food,13.0943957,80.2793417,casual,low,solo,Nungambakkam,one hour,
Ram Stores,convenience,13.0945634,80.279084,errands,low,family,Nungambakkam,one hour,
Royal Chats,fast_food,13.0966168,80.279032,casual,low,solo,Nungambakkam,one hour,
Lakshmi Provision Store,convenience,13.0942438,80.2828907,errands,low,family,Nungambakkam,one hour,
Tea Stall,cafe,13.0942797,80.282896,chill,mid,solo,Nungambakkam,two hours,
Regal Snack Bar,cafe,13.0942816,80.2819967,chill,mid,solo,Nungambakkam,two hours,
B. Sedhramaiya Cool Bar,fast_food,13.094953,80.2816731,casual,low,solo,Nungambakkam,one hour,
Seena Bhai Chat Centre,fast_food,13.0927546,80.2798663,casual,low,solo,Nungambakkam,one hour,
Johnson Store,convenience,13.1024344,80.2846562,errands,low,family,Nungambakkam,one hour,
Ganesh Store,convenience,13.1025597,80.2842207,errands,low,family,Nungambakkam,one hour,
Gupta Chat House,fast_food,13.0960297,80.2807547,casual,low,solo,Nungambakkam,one hour,
Shri Mateshawari Provision Store,convenience,13.0960999,80.2807709,errands,low,family,Nungambakkam,one hour,
Hot Chips,fast_food,13.0982922,80.2804309,casual,low,solo,Nungambakkam,one hour,Explore this exciting spot!
Sree Krishna Tea Stall,cafe,13.0966321,80.2806248,chill,mid,solo,Nungambakkam,two hours,
Nirmala Chat Centre,fast_food,13.0983863,80.2810825,casual,low,solo,Nungambakkam,one hour,
Velmurugan Stores,convenience,13.0984836,80.2811802,errands,low,family,Nungambakkam,one hour,
Al-Aksar Tiffin Centre,cafe,13.0966857,80.2840689,chill,mid,solo,Nungambakkam,two hours,
Raj Snack Bar,fast_food,13.0912398,80.2815158,casual,low,solo,Nungambakkam,one hour,
The National Lodge Tiffin,restaurant,13.090063,80.2815014,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Mani & Son Juice & Chats,fast_food,13.0888445,80.2812974,casual,low,solo,Nungambakkam,one hour,
Sree Sai Baba Tea Stall,cafe,13.0888215,80.2812927,chill,mid,solo,Nungambakkam,two hours,
Lamcy Cafe,cafe,13.0887735,80.281508,chill,mid,solo,Nungambakkam,two hours,
Everest Coffee,cafe,13.0922909,80.2825072,chill,mid,solo,Nungambakkam,two hours,
Former site of Binny Mills Building,attraction,13.0908999,80.2876055,touristy,low,family,Nungambakkam,full day,
My Grandma Foods,restaurant,13.089712,80.2811153,romantic,mid,date,Nungambakkam,two hours,Explore this exciting spot!
Bombay Snack Bar,fast_food,13.0903923,80.2799208,casual,low,solo,Nungambakkam,one hour,
Winners Snacks,cafe,13.0924747,80.2807416,chill,mid,solo,Nungambakkam,two hours,
Ayyappa Juice Paradise,fast_food,13.09259,80.2801777,casual,low,solo,Nungambakkam,one hour,
Sumangali Cool Bar,fast_food,13.0925927,80.2800866,casual,low,solo,Nungambakkam,one hour,
Sumangali Chat Center,fast_food,13.0925998,80.2800622,casual,low,solo,Nungambakkam,one hour,
Habeeba Store,convenience,13.0894835,80.2790006,errands,low,family,Nungambakkam,one hour,
Kamal Chat House,fast_food,13.0903885,80.2791336,casual,low,solo,Nungambakkam,one hour,
